Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Justin Jefferson,WR,MIN,6,3,1,1
2,CeeDee Lamb,WR,DAL,7,2,1,1
3,Ja'Marr Chase,WR,CIN,12,4,1,1
4,Christian McCaffrey,RB,SF,9,1,1,1
5,Amon-Ra St. Brown,WR,DET,5,5,1,1
6,Bijan Robinson,RB,ATL,12,2,1,1
7,Breece Hall,RB,NYJ,12,3,1,1
8,Marvin Harrison,WR,ARI,11,8,1,1
9,Tyreek Hill,WR,MIA,6,1,1,1
10,Jahmyr Gibbs,RB,DET,5,5,1,1
11,Puka Nacua,WR,LAR,6,9,1,2
12,Garrett Wilson,WR,NYJ,12,7,1,2
13,A.J. Brown,WR,PHI,5,6,1,2
14,Jonathan Taylor,RB,IND,14,6,1,2
15,Sam LaPorta,TE,DET,5,2,1,2
16,Travis Etienne,RB,JAX,12,8,1,2
17,Saquon Barkley,RB,PHI,5,4,1,2
18,Patrick Mahomes,QB,KC,6,2,1,2
19,Chris Olave,WR,NO,12,12,1,2
20,Malik Nabers,WR,NYG,11,23,2,2
21,Josh Allen,QB,BUF,12,1,1,3
22,C.J. Stroud,QB,HOU,14,5,1,3
23,Kyren Williams,RB,LAR,6,7,1,3
24,Drake London,WR,ATL,12,11,2,3
25,Brandon Aiyuk,WR,SF,9,13,2,3
26,De'Von Achane,RB,MIA,6,10,1,3
27,Jaylen Waddle,WR,MIA,6,18,2,3
28,Jalen Hurts,QB,PHI,5,4,1,3
29,DeVonta Smith,WR,PHI,5,24,2,3
30,Josh Jacobs,RB,GB,10,11,1,3
31,Isiah Pacheco,RB,KC,6,12,2,4
32,Michael Pittman,WR,IND,14,21,2,4
33,Lamar Jackson,QB,BAL,14,3,1,4
34,Rome Odunze,WR,CHI,7,34,2,4
35,Kenneth Walker,RB,SEA,10,17,2,4
36,Nico Collins,WR,HOU,14,15,2,4
37,Trey McBride,TE,ARI,11,4,1,4
38,Rachaad White,RB,TB,11,13,2,4
39,DJ Moore,WR,CHI,7,19,2,4
